                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67108,                0.44109,                 1.0558,                 0.9498,                0.95141,                0.97649,                0.81456,                0.69653,                0.37488,                0.97829,               0.006535,               0.006535,               0.006535
                     37,                0.66862,                 0.4415,                 1.0551,                0.94365,                0.94521,                 0.9748,                0.81477,                0.70174,                0.37727,                0.97968,               0.006436,               0.006436,               0.006436
                     38,                0.66495,                0.44184,                 1.0539,                0.95585,                0.94005,                0.97649,                0.81769,                0.68739,                0.37064,                0.97807,               0.006337,               0.006337,               0.006337
                     39,                0.66011,                 0.4377,                 1.0544,                0.95119,                0.94943,                0.97845,                0.81674,                0.69502,                0.36721,                0.98139,               0.006238,               0.006238,               0.006238
                     40,                0.65865,                0.43286,                 1.0514,                 0.9601,                0.94101,                0.97732,                0.82097,                0.69349,                0.36997,                0.97972,               0.006139,               0.006139,               0.006139
                     41,                0.65531,                0.43195,                 1.0497,                0.95044,                0.94574,                0.97707,                0.81709,                0.69101,                0.36588,                0.97646,                0.00604,                0.00604,                0.00604
                     42,                 0.6553,                0.42899,                 1.0478,                0.96268,                0.92955,                0.97566,                0.81608,                0.69235,                 0.3726,                0.97873,               0.005941,               0.005941,               0.005941
                     43,                0.64952,                0.42355,                 1.0475,                0.95966,                 0.9407,                0.97598,                0.82089,                0.68055,                0.36599,                0.96928,               0.005842,               0.005842,               0.005842
                     44,                 0.6443,                0.41963,                 1.0432,                0.95551,                0.94353,                0.97612,                0.81613,                0.69429,                0.36236,                0.97231,               0.005743,               0.005743,               0.005743
                     45,                0.64304,                0.41616,                 1.0442,                0.95239,                0.94442,                0.97713,                0.81979,                0.68229,                0.36383,                0.96748,               0.005644,               0.005644,               0.005644
                     46,                0.64015,                 0.4159,                 1.0424,                0.95886,                0.93947,                0.97755,                0.82269,                0.67418,                0.35289,                0.96429,               0.005545,               0.005545,               0.005545
                     47,                0.63929,                0.41162,                 1.0414,                0.96093,                0.93907,                0.97896,                0.82837,                0.66929,                0.35272,                 0.9623,               0.005446,               0.005446,               0.005446
                     48,                0.63308,                 0.4081,                 1.0383,                0.94956,                0.95167,                0.97896,                0.82754,                0.67467,                0.35382,                0.95983,               0.005347,               0.005347,               0.005347
